distname,fid_hex,area_sqkm
Mirzapur,"306","442"
Mirzapur,"307","204"
Sonbhadra,"307","239"
Sonbhadra,"308","401"
Sonbhadra,"309","444"
Sonbhadra,"310","437"
Sonbhadra,"311","357"
Sonbhadra,"312","6"
Sant Kabir Nagar,"313","100"
Basti,"313","320"
Ambedkar Nagar,"313","10"
Sant Kabir Nagar,"314","15"
Azamgarh,"314","26"
Ambedkar Nagar,"314","390"
Azamgarh,"315","206"
Ambedkar Nagar,"315","227"
Azamgarh,"316","435"
Jaunpur,"317","86"
Azamgarh,"317","350"
Varanasi,"318","27"
Jaunpur,"318","410"
Azamgarh,"318","0"
Varanasi,"319","439"
Jaunpur,"319","0"
Varanasi,"320","293"
Mirzapur,"320","148"
Balrampur,"321","1"
Siddharthnagar,"322","309"
Balrampur,"322","9"
Siddharthnagar,"323","426"
Siddharthnagar,"324","216"
Sant Kabir Nagar,"324","52"
Basti,"324","160"
Sant Kabir Nagar,"325","215"
Basti,"325","214"
Kheri,"326","197"
Kheri,"327","415"
Pilibhit,"327","2"
Kheri,"328","418"
Kheri,"329","420"
Sitapur,"330","35"
Kheri,"330","387"
Sitapur,"331","423"
Kheri,"331","0"
Banda,"332","275"
Hamirpur,"332","163"
Banda,"333","391"
Hamirpur,"333","47"
Banda,"334","250"
Banda,"335","97"
Banda,"336","30"
Sitapur,"337","0"
Hardoi,"337","425"
Hardoi,"338","427"
Hardoi,"339","182"
Unnao,"339","246"
Unnao,"340","428"
Kanpur Nagar,"340","2"
Unnao,"341","239"
Kanpur Nagar,"341","192"
Kanpur Nagar,"342","433"
Fatehpur,"343","111"
Kanpur Nagar,"343","323"
Banda,"344","40"
Fatehpur,"344","297"
Kanpur Nagar,"344","27"
Hamirpur,"344","72"
Kheri,"345","7"
Pilibhit,"345","86"
Kheri,"346","107"
Pilibhit,"346","304"
Kheri,"347","176"
Shahjahanpur,"347","102"
Pilibhit,"347","140"
Kheri,"348","313"
Shahjahanpur,"348","107"
Kheri,"349","421"
Sitapur,"350","66"
Hardoi,"350","74"
Kheri,"350","283"
Sitapur,"351","199"
Hardoi,"351","225"
Mahoba,"352","213"
Banda,"352","118"
Hamirpur,"352","82"
Mahoba,"353","1"
Banda,"353","1"
Hardoi,"354","399"
Unnao,"354","29"
Hardoi,"355","4"
Unnao,"355","286"
Kanpur Nagar,"355","140"
Kanpur Dehat,"356","27"
Unnao,"356","48"
Kanpur Nagar,"356","355"
Kanpur Dehat,"357","264"
Kanpur Nagar,"357","168"
Kanpur Dehat,"358","124"
Kanpur Nagar,"358","309"
Fatehpur,"359","0"
Kanpur Nagar,"359","314"
Hamirpur,"359","121"
Kanpur Nagar,"360","1"
Hamirpur,"360","435"
Hamirpur,"361","438"
Kheri,"362","279"
Kheri,"363","418"
Kheri,"364","420"
Unnao,"365","173"
Fatehpur,"365","102"
Rae Bareli,"365","159"
Fatehpur,"366","436"
Banda,"367","82"
Fatehpur,"367","356"
Banda,"368","439"
Chitrakoot,"369","44"
Banda,"369","396"
Chitrakoot,"370","127"
Banda,"370","198"
Chitrakoot,"371","17"
Sitapur,"372","350"
Kheri,"372","72"
Sitapur,"373","424"
Sitapur,"374","425"
Hardoi,"374","0"
Sitapur,"375","77"
Lucknow,"375","48"
Hardoi,"375","302"
Lucknow,"376","414"
Unnao,"376","14"
Lucknow,"377","207"
Unnao,"377","223"
Unnao,"378","431"
Unnao,"379","431"
Rae Bareli,"379","2"
Kheri,"380","287"
Kheri,"381","418"
Kheri,"382","419"
Kheri,"383","421"
Banda,"384","173"
